component,index,type
tmp_nest,0,temporal
tmp_nest,0.8,temporal
tmp_nest,0.06857143,temporal
tmp_nest,0.76470588,temporal
tmp_nest,0.05555556,temporal
pst_nest,0.1146,spatial
pst_nest,0.1441,spatial
pst_nest,0.2461,spatial
pst_nest,0.0669,spatial
pst_nest,0.0992,spatial
