component,index,type
tmp_total,1,temporal
tmp_total,0.8,temporal
tmp_total,0.64,temporal
tmp_total,0.7647059,temporal
tmp_total,0.5,temporal
pre_total,0.613,spatial
pre_total,0.696,spatial
pre_total,0.745,spatial
pre_total,0.746,spatial
pre_total,0.64,spatial
