week_col,site_id,wet_or_dry,ph,conductivity,temperature,depth,length,width,canopy,toc,tn,doc,tdn,chloride,nitrate,sulfate,phosphate
post_dry,BDEG_2,WET,5.41,140,22.1,31,17.08,10.78,98.96,12.1,0.7853,12.54,0.6937,2.5365,0.1882,5.6626,0.088
post_dry,BDEG_3,WET,4.79,56.1,15.9,7,5.76,3.39,65.68,4.368,0.9639,4.438,0.9239,1.2694,0.1184,2.9451,0.1166
post_dry,MSHN_1,WET,6.12,19.6,22.8,8,15.62,8.16,62.04,9.128,9.128,9.461,0.8065,0.0573,0.2087,1.0042,NA
post_dry,MSHN_2,WET,6.8,160,20.6,25,18.87,19.75,88.04,6.341,6.341,7.489,0.4597,2.093,0.1711,49.0435,NA
post_dry,SPRL_3,WET,4.82,45.8,19.9,25,27.48,25.32,65.69,9.431,9.431,9.963,0.4675,1.359,0.1218,1.2081,NA
