component,index,type
tmp_nest,0,temporal
tmp_nest,0.8,temporal
tmp_nest,0.06857143,temporal
tmp_nest,0.76470588,temporal
tmp_nest,0.05555556,temporal
pre_nest,0.139,spatial
pre_nest,0.12,spatial
pre_nest,0.133,spatial
pre_nest,0.113,spatial
pre_nest,0.103,spatial
