week_col,site_id,acilius,aedes,aeshna,agabinae,anopheles,boyeria,brychius,ceratopogonidae,chaoboridae,chauliodes,chironomini,coptotomus,culex,diptera_other,dytiscidae,dytiscus,enochrus,gerris,hirudinea,hydroporinae,hydroporus,ilybius,laccophilus,lesteva,limnephilus,liodessus,neoporus,notonecta,oligochaeta,orthocladiinae,peltodytes,ranatra,scirtidae,sminthurus,tanypodinae
post_dry,BDEG_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
post_dry,BDEG_3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post_dry,MSHN_1,0,3,0,2,6,0,0,0,0,0,1,0,0,0,0,2,10,7,3,0,1,0,0,1,0,1,0,8,70,0,1,0,0,0,26
post_dry,MSHN_2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,22,0,0,0,0,0,0
post_dry,SPRL_3,0,14,0,0,0,0,0,2,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0
